Fecha;Festivo
01/01/2017;Año Nuevo
06/01/2017;Día de Reyes
14/02/2017;Día de San Valentín
19/03/2017;Día del Padre
09/04/2017;Domingo de Ramos
10/04/2017;Lunes Santo
11/04/2017;Martes Santo
12/04/2017;Miércoles Santo
13/04/2017;Jueves Santo
14/04/2017;Viernes Santo
15/04/2017;Sábado Santo
16/04/2017;Domingo de Resurrección
07/05/2017;Día de la Madre
03/05/2017;Día de la Cruz
24/06/2017;Día de San Juan
16/07/2017;Día de la Virgen del Carmen
19/08/2017;Día de la Victoria
12/08/2017;Feria de Málaga
13/08/2017;Feria de Málaga
14/08/2017;Feria de Málaga
15/08/2017;Feria de Málaga
16/08/2017;Feria de Málaga
17/08/2017;Feria de Málaga
18/08/2017;Feria de Málaga
19/08/2017;Feria de Málaga
08/09/2017;Fiesta de la Virgen de la Victoria
12/10/2017;Día de la Hispanidad (Fiesta Nacional de España)
31/10/2017;Noche de Halloween
01/11/2017;Día de Todos los Santos
06/12/2017;Día de la Constitución
24/12/2017;Nochebuena
25/12/2017;Navidad
31/12/2017;Nochevieja
01/01/2018;Año Nuevo
06/01/2018;Día de Reyes
14/02/2018;Día de San Valentín
19/03/2018;Día del Padre
25/03/2018;Domingo de Ramos
26/03/2018;Lunes Santo
27/03/2018;Martes Santo
28/03/2018;Miércoles Santo
29/03/2018;Jueves Santo
30/03/2018;Viernes Santo
31/03/2018;Sábado Santo
01/04/2018;Domingo de Resurrección
06/05/2018;Día de la Madre
03/05/2018;Día de la Cruz
24/06/2018;Día de San Juan
16/07/2018;Día de la Virgen del Carmen
19/08/2018;Día de la Victoria
11/08/2018;Feria de Málaga
12/08/2018;Feria de Málaga
13/08/2018;Feria de Málaga
14/08/2018;Feria de Málaga
15/08/2018;Feria de Málaga
16/08/2018;Feria de Málaga
17/08/2018;Feria de Málaga
18/08/2018;Feria de Málaga
19/08/2018;Feria de Málaga
08/09/2018;Fiesta de la Virgen de la Victoria
12/10/2018;Día de la Hispanidad (Fiesta Nacional de España)
31/10/2018;Noche de Halloween
01/11/2018;Día de Todos los Santos
06/12/2018;Día de la Constitución
24/12/2018;Nochebuena
25/12/2018;Navidad
31/12/2018;Nochevieja
01/01/2019;Año Nuevo
06/01/2019;Día de Reyes
14/02/2019;Día de San Valentín
19/03/2019;Día del Padre
14/04/2019;Domingo de Ramos
15/04/2019;Lunes Santo
16/04/2019;Martes Santo
17/04/2019;Miércoles Santo
18/04/2019;Jueves Santo
19/04/2019;Viernes Santo
20/04/2019;Sábado Santo
21/04/2019;Domingo de Resurrección
05/05/2019;Día de la Madre
03/05/2019;Día de la Cruz
24/06/2019;Día de San Juan
16/07/2019;Día de la Virgen del Carmen
19/08/2019;Día de la Victoria
15/08/2019;Feria de Málaga
16/08/2019;Feria de Málaga
17/08/2019;Feria de Málaga
18/08/2019;Feria de Málaga
19/08/2019;Feria de Málaga
20/08/2019;Feria de Málaga
21/08/2019;Feria de Málaga
22/08/2019;Feria de Málaga
23/08/2019;Feria de Málaga
24/08/2019;Feria de Málaga
08/09/2019;Fiesta de la Virgen de la Victoria
12/10/2019;Día de la Hispanidad (Fiesta Nacional de España)
31/10/2019;Noche de Halloween
01/11/2019;Día de Todos los Santos
06/12/2019;Día de la Constitución
24/12/2019;Nochebuena
25/12/2019;Navidad
31/12/2019;Nochevieja
01/01/2020;Año Nuevo
06/01/2020;Día de Reyes
14/02/2020;Día de San Valentín
19/03/2020;Día del Padre
05/04/2020;Domingo de Ramos
06/04/2020;Lunes Santo
07/04/2020;Martes Santo
08/04/2020;Miércoles Santo
09/04/2020;Jueves Santo
10/04/2020;Viernes Santo
11/04/2020;Sábado Santo
12/04/2020;Domingo de Resurrección
03/05/2020;Día de la Madre
03/05/2020;Día de la Cruz
24/06/2020;Día de San Juan
16/07/2020;Día de la Virgen del Carmen
19/08/2020;Día de la Victoria
08/09/2020;Fiesta de la Virgen de la Victoria
12/10/2020;Día de la Hispanidad (Fiesta Nacional de España)
31/10/2020;Noche de Halloween
01/11/2020;Día de Todos los Santos
06/12/2020;Día de la Constitución
24/12/2020;Nochebuena
25/12/2020;Navidad
31/12/2020;Nochevieja
01/01/2021;Año Nuevo
06/01/2021;Día de Reyes
14/02/2021;Día de San Valentín
19/03/2021;Día del Padre
28/03/2021;Domingo de Ramos
29/03/2021;Lunes Santo
30/03/2021;Martes Santo
31/03/2021;Miércoles Santo
01/04/2021;Jueves Santo
02/04/2021;Viernes Santo
03/04/2021;Sábado Santo
04/04/2021;Domingo de Resurrección
02/05/2021;Día de la Madre
03/05/2021;Día de la Cruz
24/06/2021;Día de San Juan
16/07/2021;Día de la Virgen del Carmen
19/08/2021;Día de la Victoria
08/09/2021;Fiesta de la Virgen de la Victoria
12/10/2021;Día de la Hispanidad (Fiesta Nacional de España)
31/10/2021;Noche de Halloween
01/11/2021;Día de Todos los Santos
06/12/2021;Día de la Constitución
24/12/2021;Nochebuena
25/12/2021;Navidad
31/12/2021;Nochevieja
01/01/2022;Año Nuevo
06/01/2022;Día de Reyes
14/02/2022;Día de San Valentín
19/03/2022;Día del Padre
10/04/2022;Domingo de Ramos
11/04/2022;Lunes Santo
12/04/2022;Martes Santo
13/04/2022;Miércoles Santo
14/04/2022;Jueves Santo
15/04/2022;Viernes Santo
16/04/2022;Sábado Santo
17/04/2022;Domingo de Resurrección
01/05/2022;Día de la Madre
03/05/2022;Día de la Cruz
24/06/2022;Día de San Juan
16/07/2022;Día de la Virgen del Carmen
19/08/2022;Día de la Victoria
13/08/2022;Feria de Málaga
14/08/2022;Feria de Málaga
15/08/2022;Feria de Málaga
16/08/2022;Feria de Málaga
17/08/2022;Feria de Málaga
18/08/2022;Feria de Málaga
19/08/2022;Feria de Málaga
20/08/2022;Feria de Málaga
08/09/2022;Fiesta de la Virgen de la Victoria
12/10/2022;Día de la Hispanidad (Fiesta Nacional de España)
31/10/2022;Noche de Halloween
01/11/2022;Día de Todos los Santos
06/12/2022;Día de la Constitución
24/12/2022;Nochebuena
25/12/2022;Navidad
31/12/2022;Nochevieja
01/01/2023;Año Nuevo
06/01/2023;Día de Reyes
14/02/2023;Día de San Valentín
19/03/2023;Día del Padre
02/04/2023;Domingo de Ramos
03/04/2023;Lunes Santo
04/04/2023;Martes Santo
05/04/2023;Miércoles Santo
06/04/2023;Jueves Santo
07/04/2023;Viernes Santo
08/04/2023;Sábado Santo
09/04/2023;Domingo de Resurrección
07/05/2023;Día de la Madre
03/05/2023;Día de la Cruz
24/06/2023;Día de San Juan
16/07/2023;Día de la Virgen del Carmen
19/08/2023;Día de la Victoria
12/08/2023;Feria de Málaga
13/08/2023;Feria de Málaga
14/08/2023;Feria de Málaga
15/08/2023;Feria de Málaga
16/08/2023;Feria de Málaga
17/08/2023;Feria de Málaga
18/08/2023;Feria de Málaga
19/08/2023;Feria de Málaga
08/09/2023;Fiesta de la Virgen de la Victoria
12/10/2023;Día de la Hispanidad (Fiesta Nacional de España)
31/10/2023;Noche de Halloween
01/11/2023;Día de Todos los Santos
06/12/2023;Día de la Constitución
24/12/2023;Nochebuena
25/12/2023;Navidad
31/12/2023;Nochevieja
